id	type	slug	name	born	died	gender	species	hair_color	eye_color	skin_color	blood_status	marital_status	nationality	animagus	boggart	house	patronus	alias_names	family_members	jobs	romances	titles	wands	idhouses	idgender	idspecies	idsangre
a3701158 39ed 4687 8b9a a799cfca5811	character	1992 gryffindor vs slytherin quidditch match spectators	1992 gryffindor vs slytherin quidditch match spectators	missing	missing	missing	missing	missing	missing	missing	pure blood or half blood, or squib	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	missing	missing	missing	missing	missing	h	g0	sp0	s47
e06d8f25 fae5 4970 884e 06ae2f53d707	character	1996 gryffindor quidditch keeper trials spectators	1996 gryffindor quidditch keeper trials spectators	missing	missing	missing	missing	missing	missing	missing	squib	missing	missing	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g0	sp0	s13
5e97c6a0 e000 4fb9 8d66 37cd6942d103	character	unidentified 19th century flying instructor	19th century flying instructor	before 1890	missing	female	human	black	missing	light	pure bloods, half bloods or squibs	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	[ flying instructor at hogwarts school of witchcraft and wizardry ]	missing	missing	missing	h	g1	sp1	s37
fb7aad1b 50d7 4362 a315 d7432ae35372	character	unidentified 19th century herbology professor	19th century herbology professor	missing	missing	female	human	red	missing	light	non magique	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	[ professor of herbology at hogwarts school of witchcraft and wizardry ]	missing	missing	[ unknown length, wood and core ]	r	g1	sp1	s64
41812dca 8341 4369 b286 5e27f35274b4	character	unidentified 19th century potions professor	19th century potions professor	missing	missing	male	human	brown	missing	light	pure blood, half blood or muggle born  most likely 	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	[ potions master at hogwarts school of witchcraft and wizardry ]	missing	missing	missing	r	g2	sp1	s32
8dfb8eee 8f23 4ab2 97ef 38691187c76e	character	2 headed baby	2 headed baby	before 1927	missing	male  most likely 	human	missing	missing	missing	no maj	missing	missing	missing	missing	pukwudgie	missing	missing	missing	[ circus performers ]	missing	missing	missing	p	g3	sp1	s5
599b8cab b00e 4464 9f35 ab7d40fb46db	character	unidentified 8 year old muggle girl	8 year old muggle girl	1983	missing	female	human	missing	missing	missing	muggle	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g1	sp1	s0
2891dc78 2ffe 46a8 a49d 2cd4f81cf271	character	aamir loonat	aamir loonat	31 august 1982 or earlier	missing	male	human	missing	missing	missing	magical to unknown extent	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g2	sp1	s23
b86a74d0 8142 4d66 a88d f544fa8f9f6f	character	abel treetops	abel treetops	before 1832	missing	male	human	missing	missing	missing	one or both of them magical	missing	american	missing	missing	slytherin	missing	missing	missing	[ con artist ]	missing	missing	missing	s	g2	sp1	s18
5bf2d893 3db8 4bff bfab dbc907fc2696	character	aberforth dumbledore	aberforth dumbledore	between 1 september 1883 and 31 august 1884	missing	male	human	grey	bright blue	missing	half blood	missing	english	missing	missing	wampus	goat	[ ab ]	[ percival dumbledore  father    ,  kendra dumbledore  mother    ,  albus dumbledore  older brother    ,  ariana dumbledore  youngest sister    ,  aurelius dumbledore  son  ,  honoria  aunt  ,  mr dumbledore  paternal great great grandfather    ,  dumbledore family ]	[ owner and barman of the hog s head inn ]	[ credence barebone s mother  formerly  ]	missing	[ unknown length, wood and core ]	w	g2	sp1	s1
79516d6b bbe4 41f8 a431 89fd5dccbf96	character	abernathy	abernathy	before 1909  likely 	missing	male	human	missing	missing	missing	non magique	missing	american	missing	missing	thunderbird	missing	missing	missing	[ supervisor for the wand permit office of the magical congress of the united states of america  formerly  ]	missing	missing	[ unknown length, wood and core ]	t	g2	sp1	s64
c7318d0e e87a 4a60 b33b ac10351efc01	character	abigail nicola	abigail nicola	missing	missing	female	human	missing	missing	missing	pure blood or half blood	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g1	sp1	s4
bc1e40db edbc 4598 af51 0ab0de8ad142	character	abigail pugh	abigail pugh	31 august 1982 or earlier	missing	female	human	missing	missing	missing	half elf	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g1	sp1	s45
47d33dd2 2b68 4060 b7f6 9fef00712c24	character	abigail r cankus	abigail r  cankus	missing	missing	female	human	missing	missing	missing	magical to unknown extent	missing	american	missing	missing	horned serpent	missing	missing	missing	[ author ]	missing	missing	missing	hs	g1	sp1	s23
321ede30 4dc0 4e33 8391 3291c0c68c53	character	able fleming	able fleming	before 1776, united states of america	missing	male	human	missing	missing	missing	pure or half blood	missing	american	missing	missing	slytherin	missing	missing	missing	[ president of the magical congress of the united states of america ]	missing	[ president ]	missing	s	g2	sp1	s63
58f15a97 d7bc 4111 bb2f 756994f358bc	character	able spudmore	able spudmore	in or before 1923	missing	male	human	missing	missing	missing	part human  one eighth veela 	missing	missing	missing	missing	pukwudgie	missing	missing	[ randolph spudmore  son  ,  spudmore family ]	[ broom maker ]	missing	missing	missing	p	g2	sp1	s66
537bb0fa 1b8e 4f62 8d16 08eb9765dde1	character	abraham	abraham	missing	missing	male	human	missing	missing	missing	squibs	missing	missing	missing	missing	ravenclaw	missing	missing	[ isaac  son  ]	missing	missing	missing	missing	r	g2	sp1	s43
e8010910 95cf 46cd 916d adf1bea10131	character	abraham grimblehawk	abraham grimblehawk	missing	missing	male	human	missing	missing	missing	half blood	missing	british or irish	missing	missing	hufflepuff	missing	missing	[ mathilda grimblehawk  niece  ,  grimblehawk family ]	missing	missing	missing	missing	h	g2	sp1	s1
d6d4ffcd 5653 4d6c bfa1 10e05a0971d3	character	abraham peasegood	abraham peasegood	c  18th century	missing	male	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ arnold peasegood  possibly  ,  peasegood family ]	missing	missing	missing	[ unknown length, wood and core ]	h	g2	sp1	s4
90959c70 7f09 4a10 bb4d 522579157105	character	abraham potter	abraham potter	pre 1677	missing	male	human	missing	missing	missing	pure blood, half blood or squib  most likely 	missing	american	missing	missing	thunderbird	missing	missing	[ ignotus peverell  paternal ancestor    ,  linfred of stinchcombe  paternal ancestor    ,  hardwin potter  paternal ancestor    ,  iolanthe potter  née peverell   paternal ancestor    ,  james potter  distant relative    ,  harry potter  distant relative  ,  at least one descendant  possibly  ]	[ auror ]	missing	missing	missing	t	g2	sp1	s62
7df60622 d439 4c5a 8549 957b548a2526	character	abraham ronen	abraham ronen	missing	missing	male	human	grey	missing	light	one or both of them magical	missing	british or irish	missing	missing	slytherin	missing	missing	missing	[ professor of charms at hogwarts school of witchcraft and wizardry ]	missing	missing	missing	s	g2	sp1	s18
8c75163b 83fa 4b3f aab6 9a29f6949774	character	abraxan at the magical creatures reserve	abraxan at the magical creatures reserve	missing	missing	missing	abraxan	white	black	palomino	half blood or pure blood  possibly 	missing	missing	missing	missing	pukwudgie	missing	missing	missing	missing	missing	missing	missing	p	g0	sp2	s55
671199e8 aff5 4445 8685 0c60d1453557	character	abraxas malfoy	abraxas malfoy	before 1936  most likely 	pre 2 september, 1996	male	human	missing	missing	missing	pure blood	missing	british or irish	missing	missing	slytherin	missing	missing	[ armand malfoy  paternal ancestor    ,  nicholas malfoy  paternal ancestor    ,  lucius malfoy i  paternal ancestor    ,  brutus malfoy  paternal ancestor    ,  septimus malfoy  paternal ancestor    ,  lucius malfoy ii  son  ,  narcissa malfoy  née black   daughter in law  ,  draco malfoy  grandson  ,  astoria malfoy  née greengrass   granddaughter in law    ,  malfoy family ,  house of black  in laws  ,  greengrass family  in laws  ]	missing	missing	missing	missing	s	g2	sp1	s2
226a7d3b 7ddb 47ad a798 ef387402c970	character	aceline faure	aceline faure	missing	missing	missing	human	missing	missing	missing	pure blood  likely 	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g0	sp1	s39
9fed3c2e 640c 48b7 857b e095fa34ca51	character	achilles tolliver	achilles tolliver	before 1910	missing	male	human	missing	missing	missing	half elf	missing	american	missing	missing	hufflepuff	missing	missing	missing	[ auror ]	[ porpentina goldstein  dated  ]	missing	missing	h	g2	sp1	s45
4a1ad6b7 3ad0 4cc0 8872 66f1b960b714	character	acolyte thug	acolyte thug	before 1927	missing	male	human	missing	missing	missing	pure blood, half blood or squib  most likely 	missing	missing	missing	missing	thunderbird	missing	missing	missing	missing	missing	missing	missing	t	g2	sp1	s62
65cc29f8 1fa7 4dfd 8829 0fcf26fee50a	character	actor who played crapaud	actor who played crapaud	missing	missing	male	human	brown	missing	missing	part human  quarter veela 	missing	missing	missing	missing	hufflepuff	missing	missing	missing	[ actor ]	missing	missing	missing	h	g2	sp1	s41
0fd885ae 63cb 4622 b420 0bc9515f7129	character	actor who played grenouille	actor who played grenouille	missing	missing	male	human	red	missing	missing	no maj or squib	missing	missing	missing	missing	gryffindor	missing	missing	missing	[ actor ]	missing	missing	missing	g	g2	sp1	s53
1b4cc5f2 7c1d 4628 aaed 1b2ca3650eeb	character	adalbert waffling	adalbert waffling	missing	1981	male	human	missing	missing	missing	no maj born	missing	missing	missing	missing	wampus	missing	missing	missing	[ author ,  magical theoretician ]	missing	missing	missing	w	g2	sp1	s49
99fd6638 9959 41d4 822b f8259c96d5a2	character	adam pickering	adam pickering	31 august 1982 or earlier	missing	male	human	missing	missing	missing	half blood or pure blood  possibly 	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g2	sp1	s55
ba018d1e 2f72 4c28 92db 3a5d88906092	character	addison fawley	addison fawley	between 2006 and 2015	missing	missing	human	missing	missing	missing	pure blood, half blood or squib  possibly 	missing	british	missing	missing	ravenclaw	missing	missing	[ grim fawley  father  ,  penelope fawley  mother  ,  melody fawley  twin sister  ,  lucretia fawley  paternal grandmother    ,  marshall fawley  oaternal grandfather    ,  maternal grandfather ,  maternal grandmother ,  fawley family ]	missing	missing	missing	missing	r	g0	sp1	s3
d4744c1f 0ff6 4270 bea9 d27b29a7895d	character	adelaide murton	adelaide murton	31 august 1982 or earlier	missing	female	human	missing	missing	missing	magical to some extent	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g1	sp1	s61
4a406ff7 7a44 4eb3 9877 7a6a7e0cb29c	character	adrian	adrian	between 1 september, 1959 and 31 august, 1960	missing	male	human	missing	missing	missing	pure blood, half blood or squib  most likely 	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	[ photographer at the daily prophet ]	missing	missing	missing	h	g2	sp1	s62
2f254e95 bfa7 4d5c 91b5 09239222f53d	character	adrian pucey	adrian pucey	between 1 september 1977 and 31 august 1979  likely 	missing	male	human	missing	missing	missing	part human  half giant 	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	[ chaser ]	missing	s	g2	sp1	s59
ebf9e392 5fe3 4db5 b0cf 5e8b568c5102	character	adrian speke	adrian speke	on or prior to 31 august 1982	missing	male	human	missing	missing	missing	muggle born or half blood  possibly 	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g2	sp1	s50
4d71d97d 6273 46a1 a69d a8fa8eb5115a	character	adrian tutley	adrian tutley	missing	missing	male	human	missing	missing	missing	no maj or squib	missing	missing	gerbil	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g2	sp1	s53
681ee655 7aa1 4cff aad8 44caafa17ffb	character	african prince	african prince	missing	missing	male	human	missing	missing	missing	half blood  most likely 	missing	missing	missing	missing	gryffindor	missing	missing	missing	missing	missing	[ prince ]	missing	g	g2	sp1	s26
7e97baf4 a141 4980 b1f4 18a99be4e148	character	agatha chubb	agatha chubb	missing	missing	female	human	missing	missing	missing	no maj  most likely 	missing	missing	missing	missing	did not attend hogwarts	missing	missing	missing	[ ancient wizarding artefacts researcher ]	missing	missing	missing	d	g1	sp1	s34
560f7655 3e7d 40f0 96f7 39cc6c7c1490	character	agatha thrussington	agatha thrussington	31 august 1982 or earlier	missing	female	human	missing	missing	missing	squib or wizard  likely 	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g1	sp1	s17
0e7beda4 5889 4e25 92ae f6a7bd5e3053	character	agatha timms	agatha timms	missing	missing	female	human	missing	missing	missing	part human  half veela 	missing	missing	missing	missing	pukwudgie	missing	missing	missing	[ eel farmer ]	missing	missing	missing	p	g1	sp1	s16
74ef266d 1510 4c02 a6da 39e5928d7d73	character	aged witch	aged witch	missing	missing	female	human	missing	missing	missing	muggle born  possibly 	missing	british	missing	missing	did not attend hogwarts	missing	missing	missing	missing	missing	missing	missing	d	g1	sp1	s14
503e208e cc9a 4801 a2f3 51d728a30278	character	agilbert fontaine	agilbert fontaine	missing	missing	male	human	missing	missing	missing	no maj  most likely 	missing	american	missing	missing	hogwarts school of witchcraft and wizardry	missing	missing	[ theodard fontaine  ancestor  ,  fontaine family ]	[ headmaster of ilvermorny school of witchcraft and wizardry c  2016  ]	missing	[ headmaster ,  professor ]	missing	h	g2	sp1	s34
00e678be bf09 4f1e bf28 9898810af415	character	agnes	agnes	missing	missing	female	human	missing	missing	missing	pure bloods or half bloods	missing	british	dog  probably, failed 	missing	wampus	missing	missing	[ son ]	missing	missing	missing	missing	w	g1	sp1	s65
a62f9783 16de 4e05 b8c1 df678de32954	character	agnes monkleigh	agnes monkleigh	31 august 1982 or earlier	missing	female	human	red	missing	white	part goblin	missing	british or irish	missing	missing	slytherin	missing	missing	missing	missing	missing	missing	missing	s	g1	sp1	s40
7b5b0c53 bcf3 4caf 9e1d 198fa6745319	character	agnes nutt	agnes nutt	missing	missing	female	human	missing	missing	missing	half blood or muggle born	missing	british or irish	missing	missing	pukwudgie	missing	missing	missing	missing	missing	missing	missing	p	g1	sp1	s20
c5873b41 0dd5 4e2c ad09 8c5ea6335696	character	agnes s son	agnes s son	missing	missing	male	human	missing	missing	missing	pure bloods	missing	british	missing	missing	horned serpent	missing	missing	[ agnes  mother  ]	missing	missing	missing	missing	hs	g2	sp1	s19
88477a20 15df 4f74 acbc 033a8092b45f	character	aidan kiely	aidan kiely	1981 or earlier	missing	male	missing	missing	missing	missing	squib  possibly 	missing	irish	missing	missing	pukwudgie	missing	missing	missing	[ seeker of the kenmare kestrels ]	missing	[ seeker ]	missing	p	g2	sp0	s15
19a45262 347b 4d12 801d e2d4ac388efb	character	aidan lynch	aidan lynch	missing	missing	male	human	missing	missing	missing	pure blood	missing	irish	missing	missing	horned serpent	missing	missing	missing	[ seeker for the irish national quidditch team ]	missing	[ seeker ]	missing	hs	g2	sp1	s2
643bc9bd 4530 4ae3 b932 43153715495b	character	aiden o connor	aiden o connor	31 august 1982 or earlier	missing	male	human	missing	missing	missing	underbeing	missing	british or irish	missing	missing	gryffindor	missing	missing	missing	missing	missing	missing	missing	g	g2	sp1	s58
c68bbc2d 2fe8 4409 9f7f feae70215408	character	aisha	aisha	missing	missing	female	human	missing	missing	missing	pure blood or half blood	missing	missing	missing	missing	horned serpent	missing	missing	[ mother ]	missing	[ mathilda grimblehawk ]	missing	missing	hs	g1	sp1	s4
42c1aa12 2d98 4d13 aa23 e3718a773f5a	character	aisha s mother	aisha s mother	missing	missing	female	human	missing	missing	missing	muggle  as implied by the muggle born registration commission , pure blood or half blood  as claimed by alderton 	missing	missing	missing	missing	hufflepuff	missing	missing	[ aisha  daughter  ]	missing	missing	missing	missing	h	g1	sp1	s68
aed156f0 735a 4868 a7ba 94ea1cb8bc13	character	aki sugiyama	aki sugiyama	31 august 1982 or earlier,	missing	female	human	missing	missing	missing	pure bloods	missing	british or irish	missing	missing	hufflepuff	missing	missing	missing	missing	missing	missing	missing	h	g1	sp1	s19
17cda6a8 1c0f 4df6 b0b2 0944f9840501	character	alain lacroix	alain lacroix	missing	missing	male	human	brown	green	white	part human  quarter veela 	missing	french	missing	missing	did not attend hogwarts	missing	missing	missing	[ beater for the french national quidditch team ]	missing	[ beater ]	missing	d	g2	sp1	s41
8042bf01 a782 423c b9a2 d550ee54ac3b	character	alannis	alannis	31 august 1985 or earlier	missing	female	human	blonde	brown	light	no maj  likely 	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	[ ravenclaw duelling club captain ]	missing	r	g1	sp1	s57
765035e2 7de0 4ac8 beaf 18192088847b	character	alannis shepley	alannis shepley	31 august 1982 or earlier	missing	female	human	missing	missing	missing	half blood or muggle born	missing	british or irish	missing	missing	ravenclaw	missing	missing	missing	missing	missing	missing	missing	r	g1	sp1	s20
e2b5a35f 5e48 4651 bff4 7550f12732dd	character	alanza alves	alanza alves	missing	missing	female	human	brown	brown	caramel	pure blood or half blood	missing	brazilian	missing	missing	thunderbird	missing	missing	[ grandmother ,  alves family ]	missing	missing	missing	missing	t	g1	sp1	s4
c413d266 5751 4ae0 a41b 9037e62ee749	character	alanza alves s grandmother	alanza alves s grandmother	before 1973	missing	female	human	missing	missing	missing	muggle	missing	brazilian	missing	missing	gryffindor	missing	missing	[ alanza alves  granddaughter  ,  alves family ]	missing	missing	missing	missing	g	g1	sp1	s0
